MAE,RMSE,R2,model,test_season
0.22793613296705548,0.305761955099101,0.4819391629162657,Linear,2004
0.22285880210013,0.30593542991450107,0.48135114991654804,Ridge,2004
0.22109072805599936,0.33418410221778977,0.3811499345165472,RandomForest,2004
0.23884321010920484,0.3426749224477552,0.3493034323179659,XGBoost,2004
0.18841413715149088,0.26228658070367045,0.485577650332087,Linear,2005
0.18933776969041774,0.2616415152298566,0.48810487104118394,Ridge,2005
0.18912956880195378,0.26789336095075583,0.46334943918876004,RandomForest,2005
0.1984946285097356,0.2883493395145981,0.37826458272832586,XGBoost,2005
0.19745147077093791,0.29227754225471403,0.562431823429852,Linear,2006
0.1975647600412946,0.2929362533044595,0.5604572906872209,Ridge,2006
0.19481947441326197,0.2902043129843628,0.5686174624028449,RandomForest,2006
0.21512688509438235,0.31077044236432855,0.5053087284493835,XGBoost,2006
0.16124604654055638,0.22323057752202255,0.5844320726324048,Linear,2007
0.16126667471986167,0.2227617374804245,0.5861758326989888,Ridge,2007
0.16760972415648395,0.2300187933709821,0.558773794414023,RandomForest,2007
0.1708557186165396,0.23885477307279598,0.5242240280031895,XGBoost,2007
0.162636183316707,0.24550975212835735,0.6213236600251906,Linear,2008
0.16293437392214094,0.2456338045581034,0.6209408842884179,Ridge,2008
0.17164357447046386,0.25794254594043103,0.5819996558007379,RandomForest,2008
0.18325673755374725,0.2669055438595826,0.5524455657873182,XGBoost,2008
0.15268148246731372,0.20925025022234495,0.6303858221671852,Linear,2009
0.1526742952441568,0.2091690737299045,0.6306725426142281,Ridge,2009
0.15144466641329074,0.22364220419404235,0.5777942169141587,RandomForest,2009
0.16850075177570692,0.24102543179283356,0.5096091154376581,XGBoost,2009
0.19234471155151847,0.290195700587342,0.5447190704224489,Linear,2010
0.19239717536420833,0.2902168059566464,0.5446528446199727,Ridge,2010
0.20322408129723982,0.2997351929424702,0.5142945377645312,RandomForest,2010
0.2188378679157782,0.31814267108980193,0.45280596086561675,XGBoost,2010
0.19791521814881646,0.27315713726939256,0.4914366024166186,Linear,2011
0.19786405770544196,0.2729613318622425,0.492165441308984,Ridge,2011
0.20466041018693812,0.2869049655497686,0.43895703093236094,RandomForest,2011
0.2119013224214637,0.28805688243507427,0.4344428374771736,XGBoost,2011
0.1810694758807444,0.2548317706326366,0.5279262194580082,Linear,2012
0.1811035594331917,0.254800083332522,0.5280436130898423,Ridge,2012
0.1876219923402106,0.2561784165297345,0.5229237354774303,RandomForest,2012
0.19389718306882334,0.2792580323988304,0.43309004440188803,XGBoost,2012
0.16826746904523912,0.23693713411404682,0.5709164715411983,Linear,2013
0.1682610600191485,0.2369378175579957,0.5709139961591514,Ridge,2013
0.1638020003300484,0.22597479287923422,0.6097026747291574,RandomForest,2013
0.17053797341835963,0.22966189167349266,0.5968622603706991,XGBoost,2013
0.1869921521841868,0.2586061305408703,0.5098193244617623,Linear,2014
0.18697415223687927,0.2585577615553877,0.5100026714276314,Ridge,2014
0.19736645258001098,0.27318068313283544,0.4530110824536969,RandomForest,2014
0.19988259826599056,0.2784493552977101,0.4317087265089443,XGBoost,2014
0.17080523457225724,0.24488328584444402,0.555830171224185,Linear,2015
0.1708100616786227,0.24488007213440394,0.5558418292160068,Ridge,2015
0.17730970247674707,0.26136297117948326,0.4940368544072594,RandomForest,2015
0.1819511243838493,0.26529442025097366,0.478700871894414,XGBoost,2015
0.17880329281190782,0.24168501288283414,0.5554888932716064,Linear,2016
0.1788189699201631,0.2417036357573489,0.5554203876295479,Ridge,2016
0.18239593116320543,0.2563605643109196,0.4998668814697985,RandomForest,2016
0.18931159666350328,0.27323675568031497,0.43185208596937197,XGBoost,2016
0.15048599419417158,0.20955871525461664,0.5783151373736907,Linear,2017
0.15049418964562494,0.20955927819465786,0.5783128718166366,Ridge,2017
0.16140948284355025,0.22843180351206635,0.4989400462301746,RandomForest,2017
0.16219601188014232,0.23255282910565434,0.48069821991110884,XGBoost,2017
0.1625023388617072,0.24807932821649342,0.5417584859428399,Linear,2018
0.16251025539977154,0.24807736715030507,0.541765730709213,Ridge,2018
0.17177874458307035,0.2639837971845567,0.48111893834621433,RandomForest,2018
0.17277552893606746,0.275150113771306,0.4362939832695524,XGBoost,2018
